titre_commentaire,commentaire,Date_Avis,Ville,Pays,Date_Sejour,Note,Photo,langue
"['magnifiques', 'souvenir']","['avon', 'passé', 'maginifique', 'hôtel', 'accueil', 'top', 'toujours', 'sourire', 'member', 'soucis', 'bien', 'être', 'client', 'hôtel', 'juste', 'superbe', 'tout', 'décoré', 'goût', 'enfants', 'ainsi', 'parent', 'émerveillés', 'qualité', 'restauration', 'top', 'avon', 'profité', 'piscine', 'cela', 'petit', 'plus', 'trés', 'grand', 'parking', 'surtout', 'nombreuses', 'place', 'voitures', 'électriques', 'juste', 'génial', 'chambre', 'bien', 'spacieuse', 'trés', 'bonne', 'literie', 'avon', 'adoré', 'télé', 'incrustée', 'miroir', 'recommande', 'vivement', 'cet', 'hôtel', 'reviendrons', 'coup', 'sûrs']",déc 2022,Lille, France,décembre 2022,5,yes,fr
"['très', 'bel', 'hôtel', 'design', 'marvelien']","['belle', 'chambre', 'spacieuse', 'literie', 'vraiment', 'très', 'confortable', 'petit', 'déjeuner', 'varié', 'très', 'bon', 'sucré', 'salé', 'plat', 'préparés', 'demande', 'hôtel', 'très', 'bien', 'situé', 'profiter', 'pleinement', 'parcs', 'min', 'pieds', 'traversant', 'village', 'attention', 'quelques', 'détails', 'miroirtv', 'poussiéreux', 'bonde', 'douche', 'mal', 'nettoyée']",déc 2022,Parmain, France,décembre 2022,4,yes,fr
"['super', 'hôtel', 'thème', 'disneyland', 'paris']","['super', 'hôtel', 'thème', 'décors', 'couper', 'souffle', 'chambres', 'spacieuses', 'bien', 'équipée', 'machine', 'café', 'bouilloire', 'thé', 'petite', 'attention', 'souvenir', 'personnel', 'accueil', 'boutique', 'bagagerie', 'top', 'très', 'serviable', 'aimable', 'petit', 'soin']",déc 2022,Valenciennes, France,décembre 2022,5,yes,fr
"['attendais', 'mieux']","['peu', 'déçue', 'hôtel', 'très', 'belle', 'chambres', 'literie', 'personnel', 'top', 'petit', 'déjeuner', 'très', 'classique', 'côté', 'peu', 'surfait', 'dépaysée', 'charmée', 'comme', 'hôtel', 'disneyland', 'plus', 'aucune', 'réduction', 'fast', 'offert', 'trop', 'cher', 'rapport', 'prestations']",nov 2022,None, None,novembre 2022,4,no,fr
['ravie'],"['avon', 'vraiment', 'apprécié', 'nuit', 'cet', 'hôtel', 'chambres', 'comme', 'photo', 'miroir', 'fait', 'télé', 'trop', 'classe', 'lit', 'super', 'confortables', 'hôtel', 'juste', 'magnifique', 'chaque', 'étage', 'personnage', 'étoiles', 'car', 'trouve', 'prix', 'payons', 'pourrions', 'moins', 'avoir', 'petit', 'déjeuner', 'compris', 'simple', 'buffet', 'volonté', 'viennoiseries', 'moins', 'chambres', 'avon', 'café', 'disposition', 'déjà', 'tout', 'resterons', 'enchanté', 'séjour']",nov 2022,None, None,novembre 2022,4,no,fr
"['emplacement', 'thème', 'font', 'idéal']","['avon', 'séjourné', 'ici', 'pendant', 'deux', 'nuits', 'proximité', 'village', 'parcs', 'gros', 'plus', 'lorsque', 'quittez', 'village', 'quelques', 'hôtel', 'bienvenu', 'après', 'avoir', 'marché', 'toute', 'journée', 'thème', 'hôtel', 'excellent', 'grand', 'fan', 'très', 'impressionné', 'décoration', 'partout', 'tous', 'membres', 'personnel', 'avon', 'rencontrés', 'sympathiques', 'serviables', 'chambre', 'très', 'propre', 'nettoyée', 'tous', 'jours', 'besoin', 'demander', 'peu', 'plus', 'usure', 'quoi', 'attendais', 'compte', 'tenu', 'récente', 'rénovation', 'hôtel', 'principale', 'chose', 'remarquée', 'marque', 'noires', 'miroir', 'salle', 'bain', 'avon', 'problème', 'pomme', 'douche', 'glissait', 'simplement', 'poteau', 'cela', 'réparé', 'très', 'rapidement', 'après', 'avon', 'signalé…']",déc 2022,Angleterre, Royaume-Uni,novembre 2022,5,yes,en
"['magnifiques', 'souvenir']","['avon', 'passé', 'maginifique', 'hôtel', 'accueil', 'top', 'toujours', 'sourire', 'member', 'soucis', 'bien', 'être', 'client', 'hôtel', 'juste', 'superbe', 'tout', 'décoré', 'goût', 'enfants', 'ainsi', 'parent', 'émerveillés', 'qualité', 'restauration', 'top', 'avon', 'profité', 'piscine', 'cela', 'petit', 'plus', 'trés', 'grand', 'parking', 'surtout', 'nombreuses', 'place', 'voitures', 'électriques', 'juste', 'génial', 'chambre', 'bien', 'spacieuse', 'trés', 'bonne', 'literie', 'avon', 'adoré', 'télé', 'incrustée', 'miroir', 'recommande', 'vivement', 'cet', 'hôtel', 'reviendrons', 'coup', 'sûrs']",déc 2022,Lille, France,décembre 2022,5,yes,fr
"['très', 'bel', 'hôtel', 'design', 'marvelien']","['belle', 'chambre', 'spacieuse', 'literie', 'vraiment', 'très', 'confortable', 'petit', 'déjeuner', 'varié', 'très', 'bon', 'sucré', 'salé', 'plat', 'préparés', 'demande', 'hôtel', 'très', 'bien', 'situé', 'profiter', 'pleinement', 'parcs', 'min', 'pieds', 'traversant', 'village', 'attention', 'quelques', 'détails', 'miroirtv', 'poussiéreux', 'bonde', 'douche', 'mal', 'nettoyée']",déc 2022,Parmain, France,décembre 2022,4,yes,fr
"['critique', 'honnête', 'ceux', 'normes', 'élevées']","['bons', 'mauvais', 'côtés', 'cet', 'hôtel', 'faisons', 'abord', 'bien', 'elena', 'réception', 'star', 'hôtel', 'chance', 'avoir', 'alors', 'fait', 'demitour', 'commencé', 'comme', 'désastre', 'voyage', 'hall', 'hôtel', 'très', 'attrayant', 'proximité', 'idéale', 'ceux', 'jeunes', 'enfants', 'cet', 'hôtel', 'devenu', 'très', 'populaire', 'alors', 'disneyland', 'hotel', 'cours', 'rénovation', 'fois', 'cela', 'ouvrira', 'peu', 'plus', 'tous', 'ceux', 'normes', 'très', 'élevées', 'retourneront', 'cet', 'hôtel', 'quelques', 'problèmes', 'majeurs', 'hôtel', 'cela', 'commence', 'termine', 'personnel', 'nettoyage', 'chambres', 'demandé', 'chef', 'équipe', 'nettoyage', 'pourquoi', 'chambre', 'nettoyée', 'matin', 'regardé', 'dit', 'veux', 'nettoyée', 'sais', 'hôtel', 'étoiles', 'chambres', 'sûrement…']",déc 2022,None, None,décembre 2022,3,no,en
"['bon', 'génial']","['somme', 'restés', 'jours', 'cette', 'magnifique', 'structure', 'hôtel', 'magnifique', 'entrée', 'ensuite', 'iron', 'man', 'trois', 'version', 'boucliers', 'captain', 'america', 'incroyables', 'hôtel', 'magique', 'personnel', 'aimable', 'cuisine', 'délicieuse', 'petit', 'déjeuner', 'top', 'chambre', 'vue', 'jardin', 'led', 'intégrée', 'fantastique', 'miroir', 'voilà…', 'puis', 'vient', 'mais…', 'premier', 'jour', 'sortons', 'matin', 'fille', 'laisse', 'petite', 'boîte', 'sou', 'lit', 'besoin', 'donc', 'paresse', 'laissé', 'retour', 'trouve', 'encore', 'boite', 'terre', 'sou', 'lit', 'évidemment', 'prends', 'trouve', 'plein', 'peluchessalissures', 'puis', 'retrouve', 'pyjama', 'tout', 'emmêlés', 'jetés', 'fauteuil', 'lit', 'sans', 'mot', 'soir', 'piscine…']",déc 2022,Civitavecchia, Italie,décembre 2022,3,yes,it
